Topic,Sentiment,TwitterText
"apple","positive","Lol bet that Android couldnt do that  RT @ceejay3k: I promise this iPhone been at 1% battery for the last 3 hours. I see you @apple."
"apple","neutral","RT @adamnash: The takeaway from the @Apple earnings call?  Even Apple needs a new iPhone release every 12 months to stay competitive. cc ..."
"apple","neutral","RT @DJTREBEL1: #fail i guess @apple didnt notify these clowns that the iPhone5 isnst out yet.... http://t.co/2yCDNt1B"
"apple","neutral","Hey @Apple - need more servers for Siri traffic?  I'm sure Google can help you out with that..."
"apple","neutral","#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/fnbKNwmj #PampersHelloApps Ends10/21"
"apple","neutral","Waiting on line @Apple store at west 14th Street."
"apple","neutral","@WIREDInsider beautiful, yes. though it simply reminds me of @apple's spinning wheel of death. clock, reinvented: http://t.co/tJcJAqfl"
"apple","positive","@Apple iOS5 is all well and good and has nice new features, but I'm still waiting on an app that will go to work for me."
"apple","neutral","Steve Jobs Biopic Coming Soon - @Apple #Apple #SteveJobs http://t.co/DxZBa5bG"
"apple","neutral","Oops! Apparently @apple is some handle-squatter. Tweetbarassment."
"apple","positive","@learmonth @Cue improves iMessage + engages @Apple content partners' customers better http://t.co/hhkvlwFB with social activity messaging"
"apple","neutral","@apple store #Towson waiting at Genius bar - huge crowd waiting for #iPhone 4s @michaelmark @nicolelil http://t.co/x92sweCh"
"apple","neutral","RT @ajrogers Purdie Rogers tribute to #SteveJobs and @apple. We spray painted the Macintosh Plus w.. http://t.co/oMXjhZh0"
"apple","neutral","Using @Apple's mobile @AirPort Utility http://t.co/TiDpaHYC"
"apple","negative","My friend @bm88 found this article on the #ios5 battery drain problem http://t.co/zMX85Fkd @apple"
"apple","neutral","IHS: iPhone 4S shows key design and component changes. http://t.co/6tfiGiDV  @apple #apple #iphome4S #ios5"
"apple","neutral",""#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/DLLabuAK #PampersHelloApps""
"apple","negative","YESSS @apple fix it also slow internet RT @SprintFeed: iPhone 4S owners are you having trouble with Siri connecting to internet?"
"apple","neutral","@Apple sells 4 million on the first weekend. @Samsung sold over 30 million Galaxy S II phones globally."
"apple","neutral","Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/2XJZaLCs #PampersHelloApps"
"apple","neutral","dear @apple please invent "FaceTime Voicemails." sincerely, haendel balzora jr. #apple"
"apple","neutral","@Apple needs to take down the Steve Jobs tribute and get back to promoting the brand - put the Cloud on the front page and start explaining"
"apple","neutral","OK @apple your accessories policy is out of hand. I need a powered line in to use the mic? Are you KIDDING ME?"
"apple","neutral","This video brought a small tear to my eye http://t.co/3va2ninp. Watch to @SteveWoz opinion of #SteveJobs and @Apple"
"apple","neutral","Iphone: Watch Siri &quot;Work&quot; On the Old iPhone 4 - @Gizmodo http://t.co/dGPWL0r0 @apple allow commands from iPhone 4. Stop playin!"
"apple","neutral","Gee, I can't imagine that the maps app graphic from this Samsung website will help their court cases vs. @Apple: http://t.co/PmanMoAh"
"apple","neutral","The takeaway from the @Apple earnings call?  Even Apple needs a new iPhone release every 12 months to stay competitive. cc: @hblodget"
"apple","positive","@jackiestone1 yes! Tech peeps talk so much about algorithms, but tech should always tie back to people. @apple proves this #imediasummit"
"apple","positive","RT @DailyDealChat: @bidmyway I like your app for the @apple iPhone very simple and easy to use!"
"apple","positive","@bxlewi1 hey...do you know why @Apple hasn't added 4G support yet? Seems like an odd omission for such an advanced device."
"apple","negative","dear invisible intern/assistant: please go pick up my computer from the @apple hospital so i can upgrade to iOS5. thanks!"
"apple","positive","Hey @Apple, could you hook the voice memos app on the iPhone up with fine scrubbing? Journalists need love too."
"apple","neutral","WOW DOGS!!@Apple w/Starr earlier - upstairs in the huge soho store and all of a sudden she sprung to attention... http://t.co/b2PLMYVD"
"apple","positive","RT @TimjwDowning: #iOS 5  is a great system but it's taken all day to download @apple"
"apple","neutral","http://t.co/CvEKdOIQ line at @Apple northpark #dallas mall. #4GSiPhone"
"apple","positive","You need to ask #Siri her favorite color and the average speed of an unladen swallow. Seems Someone @apple is a Monty python fan"
"apple","neutral","I have 4 @Apple products..."
"apple","neutral","@mcp111 @apple @AppStore Why are you asking us? Apple don't read messages on Twitter... and Apple aren't @Apple either"
"apple","neutral","Lol and what do those look like? RT @TalkYo_ISH: Dear @Apple Can We Get Some Afro-American Emoticons? -Management"
"apple","neutral","Video: SIRI also gets angry. http://t.co/tzigD99b  @chrisvoss @apple #apple #siri #iphone4S #Ai"
"apple","neutral","#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/8MaDmqPc #PampersHelloApps"
"apple","neutral","Great Tech War of 2012 http://t.co/64jGRoBp @FastCompany profiles @Amazon @Apple @Google @Facebook on @CNBC /ht @philsimon"
"apple","neutral","iPhone 4S 8MP camera : It´s a SONY. http://t.co/BIqBEhTb @sony @apple #apple #iphone4S #cameras"
"apple","neutral","@apple #siri http://t.co/k7b686hX"
"apple","neutral","@rjpittman Why you won't use your @apple account."
"apple","neutral","U know the @apple company are giving out 500 iPads because Steve jobs past away"
"apple","negative","RT @iancollinsuk: Apple have just announced they sold 4 million phones this weekend. Incredible. That recession continues to bite @apple ..."
"apple","neutral","Video: SIRI also gets angry. http://t.co/Ku288WX6  @chrisvoss @apple #apple #siri #iphone4S #Ai"
"apple","neutral","Salesperson at #soho @Apple store "it doesn't matter how many people are lined up out front. They're not gonna get one" #iphone4s"
"apple","neutral","#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/nDRpciY9 #PampersHelloApps"
"apple","negative","Can someone explain to me how the hell iMessage differs from a text message? @Apple"
"apple","neutral","#Steve #Jobs #Tribute iPhone 4S Cases Now Available #iphonecaseshttp://t.co/2hyurIiq#stevejobstributecases@ikaveri @iamsrk @apple"
"apple","neutral","RT @TalkYo_ISH: Dear @Apple Can We Get Some Afro-American Emoticons? -Management"
"apple","neutral","POLL: http://t.co/GcrpUKwF Q:R U pissed @Apple banned this video? #Apple #iPhone4S #Siri #F8ball"
"apple","neutral","Big mo: In one week, @Apple #iCloud hits 20M users; 25M use #iOS 5 http://t.co/HTpUTBFK via @cnet"
"apple","negative","Cat accusing tiger for roaring  #Samsung on @Apple"
"apple","positive","@apple So why is Siri only available on the iPhone 4S ?   - http://t.co/QZuNgyLW"
"apple","negative","no kidding “@thejabberwockey: Also @EricGreenspan, don't forget @Apple stop closing the app store after each bloody purchase...”"
"apple","positive","Siri is cool but more importantly handy and FUNNY. @Apple please configure it for Canada. What's with the racism, EH?"
"apple","neutral","hmm it seems i should have checked the identity of @apple first…"
"apple","neutral","Video: SIRI also gets angry. http://t.co/ksX2XZoR  @chrisvoss @apple #apple #siri #iphone4S #Ai"
"apple","neutral","Why doesn't the Genius have songs for Watch the Throne yet? HUH? @APPLE ?????"
"apple","neutral","#opinion @Samsung need to be careful in @Apple patents issues - it looks a lot like you 'learned' a lot by making their chips!"
"apple","neutral","Just realized Apple doesn't even have @Apple on lock. This dude R.J. Pittman waiting for thee fattest check."
"apple","neutral","@Apple why no Macbook mirroring onto AppleTV via #Airplay?"
"apple","neutral","New #iOS5 notification center is a big improvement, but @apple missed an easy trick by not making it fully available on lock screen."
"apple","neutral","I don't get it. Instead of @apple dropping the 16GB iPhone 4 down to $99, they release an 8GB one for $99???"
"apple","neutral","Notes for Jobs @Apple store in Palo alto downtown. http://t.co/4BJjfq4h"
"apple","neutral","Stay young, stay foolish. But take ownership when u f*ck up, don't complain, and never give up. #resilience @apple"
"apple","negative","@ireton Perhaps it's time for @Apple to come out with an app called iSuck that lets you know which apps are killing your battery life"
"apple","neutral","@BeeeThree I am aye, I wasn't @apple"
"apple","neutral","Upgrading my #iPad to #iOS5. When @Apple said it could take a couple of hours to install and restore it, they weren't kidding."
"apple","positive","Thanks @apple my girlfriend likes #siri more than me now."
"apple","neutral","Ok, so it was a lion and not a leopard. Too much upgrading this weekend. @apple"
"apple","neutral",".RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/LCTPxHF5"
"apple","neutral","Why didn't @Apple merge the address and search bars in Safari ala Crome in iOS 5? #simplethings"
"apple","neutral","Great post on the upcoming Great Tech Wars of 2012! @amazon @apple @google @facebook http://t.co/OSeqhT7W via @cbillich"
"apple","negative","is it me or @blackberry is begging ppl not to go @apple #iphone http://t.co/X3gdBUyK"
"apple","neutral",""#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/r0WYm1jX #PampersHelloApps""
"apple","neutral","RT @FaithMcNally: @RhiannaRaee hanging @apple in tacoma listening to the beatles!"
"apple","positive","@apple please provide support for a Bangla keyboard in iOS. It would make the life of many Bengali iOS users easier! #iphone"
"apple","neutral","Watching iGenius on @Discovery. Based on first 13 minutes, @Apple never should have gone public in 1980."
"apple","positive","this reader button for safari is perfect for fic @apple #ios5 #stevejobsday"
"apple","neutral",""3 principal global players will be active in every market...@Amazon, @Apple, & @Kobo." #fbf11 #publaunch @MikeShatzkin http://t.co/1ndxcMO1"
"apple","positive","Hey @apple why is Siri not available for the Mac?"
"apple","neutral","@ATTCustomerCare @att @apple I already have an iPhone 4 with an ATT contract. Can I buy a factory UNLOCKED iPhone 4S with my contract?"
"apple","neutral","The four American companies that have come to define 21st-century on the verge of war. @Amazon @Apple @Facebook and @G…http://t.co/PxUlr5dw"
"apple","negative","@RealEstateGuyWI All about yesterday's @Apple upgrade. Helpful but maddening"
"apple","positive","@AsimRang @apple @umber well so far ive seen it for apps"
"apple","neutral","Smh at @ItsTheSituation for trying to cut in line for a 4S. Cmon mayne if @Apple's cofounder stood in line then you are too."
"apple","positive","RT @fredbenenson: Hey @twitter and @apple, this is pretty dumb. http://t.co/kubkPO0T"
"apple","neutral","Digital X Worldwide | Today Is Steve Jobs Day In California @apple http://t.co/QSCHuMIN"
"apple","neutral","@AsimRang @apple @umber when you upgrade to ios5 there is a section in app store which lets you download anything you have purchased before"
"apple","neutral","Couldnt help it & explored the #iphone4s @apple store & talked to #Siri... Should've tried to speak to her in French?! #nexttime"
"apple","neutral","@apple please bring back the old Siri app for us old school iPhone 3 users!"
"apple","neutral","Easiest way to use Evernote with iPhone 4S Siri. Just tell Siri to Email Evernote and say your note. @evernote @apple #evernote #siri"
"apple","neutral","So @apple the new iMessage is great and all, but is there a way to default to SMS when I'm not on wifi? I have limited data."
"apple","positive","after being on hold with @apple for the last 30 mins, i really like their music selection of on-hold music. White Stripes, Ray Lamontagne..."
"apple","neutral","iPhone 4S First Weekend Sales Top Four Million: http://t.co/O7zqnY7K (via @apple)"
"apple","neutral","#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/zRBak7kL #PampersHelloApps"
"apple","negative","Thanks, @Apple. Now even more people on the bus are talking to inanimate objects. Harder than ever to tell who's crazy and who's hip."
"apple","neutral","iPhone 4S 8MP camera : It´s a SONY. http://t.co/njTHOi2x @sony @apple #apple #iphone4S #cameras"
"apple","neutral","how do you sync gmail contacts with your iphone? help please! @apple @gmail"
"apple","positive","@robcollingridge @Apple @Google and with a URL that works http://t.co/vGSf529q"
"apple","neutral","@Apple, Y U NO LET ME PRE-ORDER IPHONE 4S?"
"apple","neutral","Thinking more, I want Android to do an iMessage service & for @Google & @Apple to interconnect. They would if the cared about their users."
"apple","neutral","The new @apple #find my friends app is great.... except the part where you have to log in everytime. Get back to me when this is changed..."
"apple","neutral","RT @HowardMortman: .RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/7vZSIXpy"
"apple","positive","@Blogger loves @Apple iPhone. My blogpost finally done through iPhone apps."
"apple","neutral","RT @TheMacMob: Sprint, Verizon & AT&T @Apple Stores http://t.co/ZOzR0UUz"
"apple","neutral","How much do @Apple’s factories cost? | asymco http://t.co/GH0tvqMO"
"apple","positive","@Apple how fun wouldn't it be if it was possible to integrate  ( soon to be named ) with notifications?"
"apple","neutral","How I manage my businesses/life: @pivotaltracker, @37signals, @twitter, @googleapps, @apple, @dropbox, @wordpress, @dreamhost THX"
"apple","neutral","#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/en0iacwR #PampersHelloApps"
"apple","neutral","@Bestbuy or @Apple to purchase my imac, iPad, and printer? #StudentDiscounts?"
"apple","neutral","@apple Give Siri back!"
"apple","neutral","@cnbcfastmomey what price should I sell @apple for"
"apple","neutral","IHS: iPhone 4S shows key design and component changes. http://t.co/Y3Mali6y  @apple #apple #iphome4S #ios5"
"apple","positive","Gone for a run, beautiful morning , man do I love iOS 5 @apple, #iPhone"
"apple","neutral","you are so blessed. @apple"
"apple","positive","@apple Siri is amazing"
"apple","negative","Thank you @apple for Find My Mac - just located and wiped my stolen Air. #smallvictory #thievingbastards"
"apple","positive","Good support fm Kevin @apple #Bellevue store 4 biz customers TY!"
"apple","positive","@Wisconsin_Mommy @Apple I'd totally email the company... I always get great service at our @Apple store!"
"apple","positive","Meet #Siri, your new iPhone butler. Click the link and be amazed by all it can do: http://t.co/lvfFdCEL @Apple"
"apple","positive","@apple the iPhone 4s is great #genius"
